timestamp,FESX_open,FESX_high,FESX_low,FESX_close,FDXM_open,FDXM_high,FDXM_low,FDXM_close,FESX_vol,FDXM_vol
2025-04-22 01:10:00,4814,4840,4814,4834,21144,21204,21123,21181,1990,91
2025-04-22 01:20:00,4834,4839,4834,4837,21185,21200,21182,21191,779,40
2025-04-22 01:30:00,4837,4841,4834,4837,21190,21205,21183,21183,315,13
2025-04-22 01:40:00,4837,4842,4833,4841,21186,21202,21180,21202,456,23
2025-04-22 01:50:00,4840,4842,4839,4840,21202,21216,21201,21210,288,24
2025-04-22 02:00:00,4841,4845,4837,4842,21211,21240,21206,21227,880,52
2025-04-22 02:10:00,4842,4845,4839,4844,21221,21232,21221,21228,362,15
2025-04-22 02:20:00,4845,4850,4844,4848,21224,21261,21224,21252,265,26
2025-04-22 02:30:00,4849,4854,4848,4852,21259,21271,21259,21266,478,32
2025-04-22 02:40:00,4852,4853,4847,4848,21258,21272,21254,21254,292,18
2025-04-22 02:50:00,4849,4851,4841,4844,21259,21260,21242,21242,581,8
2025-04-22 03:00:00,4844,4844,4835,4837,21240,21243,21221,21229,863,32
2025-04-22 03:10:00,4837,4846,4836,4844,21234,21248,21226,21242,280,18
2025-04-22 03:20:00,4845,4846,4842,4843,21238,21239,21216,21216,129,6
2025-04-22 03:30:00,4842,4846,4841,4845,21221,21224,21220,21224,74,11
2025-04-22 03:40:00,4845,4847,4845,4847,21237,21237,21235,21235,104,2
2025-04-22 03:50:00,4847,4851,4847,4850,21241,21245,21241,21245,210,3
2025-04-22 04:00:00,4851,4856,4849,4849,21260,21262,21242,21244,314,12
2025-04-22 04:10:00,4848,4849,4845,4849,21221,21238,21219,21236,293,23
2025-04-22 04:20:00,4850,4851,4848,4850,21242,21243,21234,21241,203,20
2025-04-22 04:30:00,4849,4856,4849,4853,21250,21260,21250,21255,162,32
2025-04-22 04:40:00,4853,4855,4851,4852,21257,21265,21256,21260,138,23
2025-04-22 04:50:00,4851,4851,4847,4849,21252,21257,21244,21250,237,19
2025-04-22 05:00:00,4849,4850,4848,4849,21254,21254,21249,21250,74,7
2025-04-22 05:10:00,4849,4851,4847,4847,21253,21254,21250,21250,104,6
2025-04-22 05:20:00,4847,4848,4846,4846,21246,21246,21244,21244,124,3
2025-04-22 05:30:00,4846,4849,4846,4849,21244,21245,21234,21242,84,20
2025-04-22 05:40:00,4849,4851,4846,4847,21242,21249,21237,21237,146,14
2025-04-22 05:50:00,4847,4849,4845,4845,21238,21238,21220,21225,118,7
2025-04-22 06:00:00,4844,4851,4843,4850,21221,21250,21221,21250,347,26
2025-04-22 06:10:00,4851,4852,4844,4844,21249,21249,21217,21223,309,35
2025-04-22 06:20:00,4846,4846,4838,4839,21215,21225,21202,21207,608,49
2025-04-22 06:30:00,4840,4840,4835,4837,21205,21218,21193,21196,884,56
2025-04-22 06:40:00,4839,4842,4836,4838,21204,21218,21202,21215,351,52
2025-04-22 06:50:00,4838,4838,4835,4838,21213,21213,21198,21209,165,51
2025-04-22 07:00:00,4837,4848,4829,4844,21207,21248,21176,21227,2711,347
2025-04-22 07:10:00,4843,4850,4838,4840,21224,21253,21223,21232,1667,181
2025-04-22 07:20:00,4840,4854,4840,4853,21234,21284,21228,21273,1950,191
2025-04-22 07:30:00,4852,4859,4852,4857,21275,21291,21269,21286,1393,196
2025-04-22 07:40:00,4857,4865,4852,4863,21285,21331,21276,21323,1707,310
2025-04-22 07:50:00,4864,4870,4860,4864,21326,21346,21312,21317,4883,527
2025-04-22 08:00:00,4864,4874,4852,4856,21314,21336,21254,21264,18574,946
2025-04-22 08:10:00,4856,4857,4843,4850,21266,21286,21234,21277,8123,532
2025-04-22 08:20:00,4850,4858,4846,4854,21279,21313,21256,21281,4400,419
2025-04-22 08:30:00,4854,4858,4843,4843,21287,21298,21228,21230,4876,407
2025-04-22 08:40:00,4844,4855,4844,4847,21231,21286,21231,21243,6150,398
2025-04-22 08:50:00,4847,4853,4843,4844,21247,21279,21225,21244,5277,330
2025-04-22 09:00:00,4844,4855,4839,4847,21245,21319,21234,21299,7492,827
2025-04-22 09:10:00,4847,4852,4844,4849,21299,21309,21269,21288,5383,426
2025-04-22 09:20:00,4850,4857,4844,4853,21289,21304,21261,21288,4628,343
2025-04-22 09:30:00,4853,4863,4852,4863,21291,21322,21285,21320,4102,497
2025-04-22 09:40:00,4862,4868,4858,4858,21320,21333,21295,21296,5056,401
2025-04-22 09:50:00,4859,4873,4858,4869,21296,21357,21296,21340,4475,530
2025-04-22 10:00:00,4870,4872,4866,4869,21341,21348,21325,21335,5615,404
2025-04-22 10:10:00,4869,4873,4865,4866,21335,21353,21317,21320,5680,358
2025-04-22 10:20:00,4867,4872,4863,4870,21318,21343,21299,21340,2993,310
2025-04-22 10:30:00,4871,4872,4866,4868,21339,21344,21318,21326,3787,290
2025-04-22 10:40:00,4868,4874,4868,4874,21321,21342,21316,21342,4600,314
2025-04-22 10:50:00,4874,4875,4872,4874,21340,21346,21325,21335,2859,248
2025-04-22 11:00:00,4873,4873,4867,4869,21332,21334,21309,21314,2594,237
2025-04-22 11:10:00,4868,4871,4860,4864,21312,21326,21273,21288,3471,453
2025-04-22 11:20:00,4864,4868,4861,4864,21286,21313,21256,21268,4443,521
2025-04-22 11:30:00,4864,4865,4859,4862,21267,21275,21258,21268,3040,342
2025-04-22 11:40:00,4862,4866,4858,4858,21270,21299,21262,21262,3068,286
2025-04-22 11:50:00,4858,4860,4855,4859,21261,21279,21250,21271,3571,387
2025-04-22 12:00:00,4859,4859,4845,4851,21271,21271,21202,21234,5262,676
2025-04-22 12:10:00,4850,4853,4848,4850,21231,21246,21218,21229,2363,324
2025-04-22 12:20:00,4850,4857,4849,4855,21230,21258,21225,21248,1883,210
2025-04-22 12:30:00,4855,4861,4855,4857,21249,21271,21240,21251,2632,319
2025-04-22 12:40:00,4857,4859,4855,4856,21251,21260,21240,21245,2144,223
2025-04-22 12:50:00,4856,4856,4849,4854,21245,21245,21220,21233,2893,306
2025-04-22 13:00:00,4854,4859,4851,4859,21234,21251,21219,21249,2851,367
2025-04-22 13:10:00,4859,4865,4857,4862,21253,21282,21247,21267,2555,382
2025-04-22 13:20:00,4862,4868,4862,4864,21267,21285,21261,21270,3310,295
2025-04-22 13:30:00,4865,4866,4862,4863,21269,21272,21249,21260,1995,332
2025-04-22 13:40:00,4863,4867,4863,4865,21261,21281,21258,21273,1916,345
2025-04-22 13:50:00,4866,4867,4857,4859,21274,21280,21236,21243,2200,274
2025-04-22 14:00:00,4859,4866,4858,4865,21243,21264,21239,21262,3871,340
2025-04-22 14:10:00,4865,4867,4861,4867,21260,21269,21245,21267,6310,335
2025-04-22 14:20:00,4866,4873,4863,4868,21263,21297,21252,21277,6630,459
2025-04-22 14:30:00,4869,4876,4864,4875,21280,21318,21269,21314,6512,939
2025-04-22 14:40:00,4875,4881,4873,4876,21313,21349,21307,21334,8281,691
2025-04-22 14:50:00,4875,4875,4867,4868,21332,21332,21302,21313,6060,485
2025-04-22 15:00:00,4870,4880,4869,4878,21317,21337,21310,21334,6622,344
2025-04-22 15:10:00,4878,4881,4874,4875,21335,21343,21321,21331,6007,384
2025-04-22 15:20:00,4875,4882,4873,4878,21326,21341,21317,21333,7058,374
2025-04-22 15:30:00,4878,4882,4870,4881,21333,21344,21302,21342,7140,617
2025-04-22 15:40:00,4881,4895,4880,4890,21340,21400,21339,21379,19085,1122
2025-04-22 15:50:00,4890,4898,4887,4895,21379,21414,21368,21409,6637,558
2025-04-22 16:00:00,4895,4904,4895,4902,21411,21444,21411,21439,6626,443
2025-04-22 16:10:00,4903,4905,4901,4903,21442,21455,21436,21438,9631,379
2025-04-22 16:20:00,4903,4905,4900,4902,21439,21448,21426,21439,21970,657
2025-04-22 16:30:00,4902,4913,4901,4910,21440,21474,21430,21463,59167,922
2025-04-22 16:40:00,4911,4912,4907,4908,21464,21469,21447,21452,10198,340
2025-04-22 16:50:00,4908,4931,4907,4924,21452,21547,21451,21518,14841,1041
2025-04-22 17:00:00,4924,4938,4924,4930,21518,21585,21518,21548,10974,996
2025-04-22 17:10:00,4930,4936,4928,4933,21550,21576,21543,21576,3459,529
2025-04-22 17:20:00,4934,4942,4934,4936,21577,21618,21576,21587,3292,605
2025-04-22 17:30:00,4937,4941,4934,4935,21589,21599,21574,21585,3636,532
2025-04-22 17:40:00,4935,4935,4929,4931,21587,21588,21560,21568,2197,400
2025-04-22 17:50:00,4932,4934,4926,4931,21570,21575,21549,21563,1699,360
2025-04-22 18:00:00,4932,4940,4931,4939,21563,21611,21561,21607,3547,621
2025-04-22 18:10:00,4938,4938,4911,4920,21607,21607,21494,21540,5795,593
2025-04-22 18:20:00,4919,4927,4905,4907,21535,21574,21489,21492,8331,696
2025-04-22 18:30:00,4907,4922,4905,4914,21489,21563,21485,21535,8348,600
2025-04-22 18:40:00,4914,4916,4907,4907,21532,21546,21516,21517,2340,272
2025-04-22 18:50:00,4908,4909,4904,4904,21515,21522,21490,21491,1952,284
2025-04-22 19:00:00,4905,4921,4904,4918,21490,21550,21486,21544,1754,360
2025-04-22 19:10:00,4918,4925,4916,4923,21542,21572,21540,21566,2833,329
2025-04-22 19:20:00,4923,4929,4923,4927,21566,21591,21561,21586,719,297
2025-04-22 19:30:00,4927,4931,4926,4928,21587,21604,21583,21596,1205,189
2025-04-22 19:40:00,4928,4935,4927,4934,21596,21625,21594,21611,1039,188
2025-04-22 19:50:00,4934,4939,4933,4938,21612,21640,21612,21633,1765,266
2025-04-22 20:00:00,4938,4942,4936,4938,21634,21642,21625,21630,1513,240
2025-04-22 20:10:00,4938,4940,4931,4933,21631,21635,21602,21610,952,264
2025-04-22 20:20:00,4933,4934,4926,4928,21610,21612,21584,21595,1315,285
2025-04-22 20:30:00,4928,4930,4927,4927,21594,21599,21586,21588,1824,254
2025-04-22 20:40:00,4927,4937,4927,4936,21589,21631,21588,21626,1635,379
2025-04-22 20:50:00,4936,4939,4926,4938,21624,21629,21592,21611,7891,403
2025-04-23 01:10:00,4981,4992,4977,4979,21868,21938,21868,21895,3879,148
2025-04-23 01:20:00,4978,4978,4970,4970,21895,21904,21883,21883,913,122
2025-04-23 01:30:00,4971,4975,4959,4965,21884,21894,21835,21868,855,114
2025-04-23 01:40:00,4966,4972,4963,4971,21868,21900,21862,21892,683,44
2025-04-23 01:50:00,4971,4981,4971,4978,21890,21914,21890,21914,694,48
2025-04-23 02:00:00,4978,4983,4978,4981,21910,21925,21898,21921,958,79
2025-04-23 02:10:00,4982,4988,4980,4987,21920,21967,21914,21963,184,67
2025-04-23 02:20:00,4988,4989,4982,4982,21960,21962,21921,21921,251,18
2025-04-23 02:30:00,4982,4982,4972,4972,21919,21919,21881,21890,218,41
2025-04-23 02:40:00,4972,4976,4970,4973,21888,21922,21888,21907,231,25
2025-04-23 02:50:00,4973,4974,4970,4971,21904,21904,21886,21886,114,59
2025-04-23 03:00:00,4971,4976,4967,4976,21888,21905,21870,21903,209,61
2025-04-23 03:10:00,4975,4977,4974,4977,21900,21910,21894,21910,249,30
2025-04-23 03:20:00,4976,4979,4974,4978,21909,21916,21901,21910,86,26
2025-04-23 03:30:00,4977,4977,4972,4973,21907,21907,21888,21900,167,28
2025-04-23 03:40:00,4973,4984,4973,4982,21904,21931,21904,21931,220,33
2025-04-23 03:50:00,4981,4984,4977,4977,21931,21931,21903,21906,542,37
2025-04-23 04:00:00,4978,4979,4972,4976,21901,21901,21887,21895,157,25
2025-04-23 04:10:00,4976,4977,4972,4974,21894,21900,21880,21889,179,31
2025-04-23 04:20:00,4973,4980,4973,4979,21884,21903,21883,21900,193,23
2025-04-23 04:30:00,4979,4983,4977,4983,21900,21915,21894,21907,271,64
2025-04-23 04:40:00,4983,4986,4979,4980,21915,21926,21901,21904,631,52
2025-04-23 04:50:00,4979,4989,4979,4988,21914,21951,21913,21946,471,39
2025-04-23 05:00:00,4988,4998,4987,4990,21945,21996,21945,21973,1081,76
2025-04-23 05:10:00,4991,4992,4989,4989,21969,21979,21960,21976,285,44
2025-04-23 05:20:00,4988,4989,4985,4988,21976,21981,21968,21981,173,40
2025-04-23 05:30:00,4989,4994,4989,4992,21989,21996,21973,21981,498,43
2025-04-23 05:40:00,4992,4994,4990,4990,21981,21989,21975,21975,193,22
2025-04-23 05:50:00,4991,4997,4989,4997,21978,21985,21968,21980,537,56
2025-04-23 06:00:00,4997,4997,4987,4987,21978,21979,21929,21932,214,99
2025-04-23 06:10:00,4988,4988,4983,4987,21929,21929,21899,21914,436,50
2025-04-23 06:20:00,4986,4989,4986,4988,21914,21932,21914,21932,410,60
2025-04-23 06:30:00,4988,4991,4985,4988,21932,21966,21920,21953,729,98
2025-04-23 06:40:00,4989,4996,4981,4994,21958,21970,21919,21959,1980,121
2025-04-23 06:50:00,4994,4997,4984,4988,21964,21973,21944,21954,1714,104
2025-04-23 07:00:00,4988,4993,4981,4986,21956,21975,21934,21936,2341,394
2025-04-23 07:10:00,4985,4990,4985,4987,21938,21963,21921,21934,2119,341
2025-04-23 07:20:00,4986,4995,4985,4992,21931,21965,21923,21950,3160,233
2025-04-23 07:30:00,4993,4994,4987,4988,21952,21963,21943,21946,2466,183
2025-04-23 07:40:00,4987,4994,4985,4993,21945,21962,21933,21953,3099,206
2025-04-23 07:50:00,4993,4998,4988,4992,21951,21975,21933,21968,3490,387
2025-04-23 08:00:00,4992,5010,4989,4998,21967,21997,21896,21909,28205,1627
2025-04-23 08:10:00,4999,5014,4993,5011,21910,21963,21878,21936,15587,563
2025-04-23 08:20:00,5011,5017,5004,5013,21939,21966,21912,21955,10752,363
2025-04-23 08:30:00,5012,5016,5007,5010,21960,21985,21942,21975,10300,453
2025-04-23 08:40:00,5010,5015,5003,5013,21976,21985,21932,21982,10895,399
2025-04-23 08:50:00,5012,5018,5010,5013,21979,22003,21964,21982,6664,388
2025-04-23 09:00:00,5014,5021,5011,5020,21983,22021,21968,22009,8907,401
2025-04-23 09:10:00,5020,5030,5018,5027,22012,22069,22003,22051,9845,587
2025-04-23 09:20:00,5027,5030,5021,5025,22053,22085,22045,22058,7844,505
2025-04-23 09:30:00,5025,5031,5024,5031,22060,22097,22051,22095,9595,470
2025-04-23 09:40:00,5031,5038,5030,5038,22096,22136,22094,22133,9557,601
2025-04-23 09:50:00,5038,5040,5033,5035,22136,22142,22101,22106,9760,443
2025-04-23 10:00:00,5036,5040,5034,5040,22107,22125,22093,22116,7405,330
2025-04-23 10:10:00,5041,5043,5038,5039,22117,22125,22092,22095,5893,225
2025-04-23 10:20:00,5039,5040,5034,5035,22097,22100,22067,22068,8381,517
2025-04-23 10:30:00,5035,5036,5020,5026,22069,22073,22007,22028,14781,951
2025-04-23 10:40:00,5026,5031,5022,5028,22027,22048,22016,22035,6215,320
2025-04-23 10:50:00,5028,5035,5025,5032,22036,22059,22012,22047,7409,417
2025-04-23 11:00:00,5032,5033,5027,5030,22044,22046,22017,22024,5823,328
2025-04-23 11:10:00,5030,5030,5023,5029,22020,22021,21997,22010,4127,362
2025-04-23 11:20:00,5028,5031,5023,5028,22011,22028,21988,22012,5860,385
2025-04-23 11:30:00,5027,5029,5022,5027,22013,22016,21985,22006,3133,320
2025-04-23 11:40:00,5027,5037,5024,5037,22006,22047,21991,22044,5348,336
2025-04-23 11:50:00,5037,5037,5031,5035,22043,22047,22016,22034,4602,307
2025-04-23 12:00:00,5034,5035,5031,5031,22032,22040,22018,22019,3054,271
2025-04-23 12:10:00,5031,5033,5027,5028,22021,22031,22007,22007,3260,183
2025-04-23 12:20:00,5028,5032,5023,5024,22013,22028,21978,21987,4740,330
2025-04-23 12:30:00,5024,5026,5018,5025,21985,21989,21934,21971,4669,462
2025-04-23 12:40:00,5024,5025,5019,5020,21971,21976,21950,21959,5081,296
2025-04-23 12:50:00,5021,5025,5019,5020,21959,21970,21951,21951,2782,198
2025-04-23 13:00:00,5021,5023,5015,5017,21957,21959,21928,21947,5861,280
2025-04-23 13:10:00,5018,5023,5016,5019,21947,21963,21926,21944,4138,327
2025-04-23 13:20:00,5018,5019,5012,5016,21945,21952,21916,21946,4439,323
2025-04-23 13:30:00,5016,5026,5015,5025,21947,21985,21944,21977,4372,371
2025-04-23 13:40:00,5024,5026,5020,5024,21980,21987,21965,21977,2987,260
2025-04-23 13:50:00,5024,5029,5024,5025,21978,21990,21967,21971,5404,225
2025-04-23 14:00:00,5025,5027,5018,5020,21970,21980,21930,21943,6107,425
2025-04-23 14:10:00,5020,5026,5020,5024,21941,21969,21936,21963,3955,155
2025-04-23 14:20:00,5024,5031,5024,5027,21961,21984,21955,21960,7081,242
2025-04-23 14:30:00,5026,5079,5022,5043,21961,22230,21950,22054,48347,1661
2025-04-23 14:40:00,5043,5060,5038,5057,22036,22113,22026,22096,25746,858
2025-04-23 14:50:00,5057,5063,5034,5062,22097,22106,22005,22100,24243,1464
2025-04-23 15:00:00,5062,5068,5048,5064,22101,22135,22054,22120,21925,1361
2025-04-23 15:10:00,5064,5065,5039,5048,22120,22154,22036,22074,14454,947
2025-04-23 15:20:00,5048,5062,5042,5055,22075,22145,22047,22114,15767,1367
2025-04-23 15:30:00,5056,5065,5055,5061,22116,22170,22113,22156,13882,946
2025-04-23 15:40:00,5061,5065,5053,5057,22155,22187,22129,22156,12467,1066
2025-04-23 15:50:00,5058,5065,5053,5060,22154,22198,22139,22170,12687,856
2025-04-23 16:00:00,5061,5067,5042,5054,22172,22195,22090,22130,23609,1248
2025-04-23 16:10:00,5053,5057,5047,5048,22129,22149,22119,22129,14639,697
2025-04-23 16:20:00,5048,5052,5033,5040,22131,22135,22063,22092,53718,1741
2025-04-23 16:30:00,5041,5051,5035,5049,22094,22129,22056,22119,79241,1978
2025-04-23 16:40:00,5050,5053,5031,5033,22120,22130,22061,22067,14468,820
2025-04-23 16:50:00,5033,5050,5032,5047,22067,22119,22056,22112,7719,772
2025-04-23 17:00:00,5048,5048,5031,5034,22113,22115,22042,22058,7051,793
2025-04-23 17:10:00,5034,5042,5027,5028,22058,22087,22033,22037,3851,505
2025-04-23 17:20:00,5028,5037,5023,5036,22037,22072,22013,22068,3659,633
2025-04-23 17:30:00,5036,5043,5032,5040,22069,22099,22064,22092,3980,491
2025-04-23 17:40:00,5040,5040,5031,5032,22087,22087,22058,22060,1612,417
2025-04-23 17:50:00,5032,5048,5030,5046,22056,22112,22051,22104,3342,540
2025-04-23 18:00:00,5046,5054,5034,5052,22108,22126,22065,22119,2004,259
2025-04-23 18:10:00,5052,5053,5049,5051,22117,22127,22110,22121,977,223
2025-04-23 18:20:00,5051,5054,5044,5045,22119,22139,22099,22102,1550,271
2025-04-23 18:30:00,5045,5048,5035,5038,22106,22121,22073,22077,1543,251
2025-04-23 18:40:00,5038,5042,5036,5042,22088,22104,22078,22099,1731,233
2025-04-23 18:50:00,5042,5054,5040,5050,22098,22135,22090,22124,1297,260
2025-04-23 19:00:00,5050,5051,5043,5049,22124,22135,22101,22120,1100,217
2025-04-23 19:10:00,5048,5054,5043,5052,22118,22133,22097,22117,2061,109
2025-04-23 19:20:00,5051,5054,5044,5045,22116,22130,22085,22091,1091,244
2025-04-23 19:30:00,5046,5050,5045,5048,22093,22108,22089,22096,680,175
2025-04-23 19:40:00,5048,5048,5039,5042,22098,22098,22065,22079,1416,206
2025-04-23 19:50:00,5042,5045,5038,5038,22080,22094,22065,22068,654,227
2025-04-23 20:00:00,5039,5043,5035,5038,22069,22086,22056,22064,451,225
2025-04-23 20:10:00,5037,5040,5034,5036,22058,22075,22054,22060,1135,274
2025-04-23 20:20:00,5036,5037,5030,5033,22061,22062,22036,22044,1944,273
2025-04-23 20:30:00,5032,5038,5028,5029,22044,22061,22035,22040,1115,330
2025-04-23 20:40:00,5030,5035,5029,5035,22043,22061,22033,22061,1135,388
2025-04-23 20:50:00,5035,5047,5035,5040,22062,22097,22062,22079,5458,249
2025-04-24 01:10:00,5050,5058,5047,5058,22099,22144,22098,22144,520,99
2025-04-24 01:20:00,5058,5059,5047,5048,22141,22142,22107,22109,302,25
2025-04-24 01:30:00,5048,5050,5046,5048,22117,22122,22109,22113,82,26
2025-04-24 01:40:00,5048,5052,5047,5048,22113,22127,22113,22121,74,11
2025-04-24 01:50:00,5049,5051,5048,5049,22117,22120,22112,22116,133,13
2025-04-24 02:00:00,5050,5050,5046,5050,22112,22116,22104,22115,81,21
2025-04-24 02:10:00,5050,5052,5045,5046,22118,22119,22103,22104,38,13
2025-04-24 02:20:00,5045,5046,5043,5046,22086,22097,22082,22097,53,18
2025-04-24 02:30:00,5046,5053,5046,5052,22103,22116,22103,22116,43,9
2025-04-24 02:40:00,5052,5052,5046,5047,22115,22115,22100,22104,87,10
2025-04-24 02:50:00,5047,5047,5042,5042,22102,22102,22082,22082,56,13
2025-04-24 03:00:00,5042,5044,5041,5041,22076,22078,22075,22075,83,6
2025-04-24 03:10:00,5041,5045,5041,5043,22083,22085,22070,22075,61,10
2025-04-24 03:20:00,5044,5047,5044,5047,22083,22092,22083,22092,37,6
2025-04-24 03:30:00,5047,5047,5040,5040,22088,22088,22062,22066,67,12
2025-04-24 03:40:00,5041,5042,5039,5039,22072,22075,22063,22066,154,10
2025-04-24 03:50:00,5039,5040,5038,5039,22061,22069,22061,22069,67,10
2025-04-24 04:00:00,5039,5040,5037,5038,22069,22070,22057,22070,102,25
2025-04-24 04:10:00,5038,5040,5037,5037,22066,22071,22065,22065,46,3
2025-04-24 04:20:00,5037,5039,5037,5039,22063,22073,22062,22071,80,11
2025-04-24 04:30:00,5040,5040,5038,5040,22081,22081,22073,22080,95,8
2025-04-24 04:40:00,5040,5042,5039,5041,22084,22095,22084,22092,32,6
2025-04-24 04:50:00,5041,5042,5040,5040,22090,22094,22090,22094,30,3
2025-04-24 05:00:00,5040,5042,5038,5039,22091,22093,22089,22089,61,3
2025-04-24 05:10:00,5038,5038,5035,5037,22084,22085,22075,22085,409,5
2025-04-24 05:20:00,5037,5038,5033,5033,22085,22088,22079,22079,323,18
2025-04-24 05:30:00,5034,5037,5032,5037,22063,22076,22063,22076,274,9
2025-04-24 05:40:00,5038,5042,5038,5042,22082,22099,22082,22099,61,11
2025-04-24 05:50:00,5041,5041,5038,5039,22096,22096,22086,22091,108,11
2025-04-24 06:00:00,5039,5042,5037,5041,22087,22117,22087,22108,116,21
2025-04-24 06:10:00,5040,5041,5038,5038,22105,22112,22099,22099,63,34
2025-04-24 06:20:00,5038,5038,5034,5035,22099,22099,22084,22086,118,40
2025-04-24 06:30:00,5034,5038,5033,5038,22081,22095,22070,22092,386,60
2025-04-24 06:40:00,5038,5039,5033,5038,22091,22099,22074,22099,202,58
2025-04-24 06:50:00,5037,5037,5024,5029,22087,22087,22037,22058,752,130
2025-04-24 07:00:00,5029,5034,5027,5030,22057,22068,22042,22048,1367,202
2025-04-24 07:10:00,5030,5033,5027,5028,22049,22065,22043,22049,1322,216
2025-04-24 07:20:00,5029,5033,5026,5032,22051,22068,22041,22065,911,208
2025-04-24 07:30:00,5032,5033,5026,5030,22064,22066,22035,22061,1066,324
2025-04-24 07:40:00,5029,5032,5023,5027,22058,22071,22038,22055,2046,397
2025-04-24 07:50:00,5027,5031,5020,5030,22057,22063,22043,22048,3411,536
2025-04-24 08:00:00,5029,5032,5016,5021,22047,22073,22006,22035,17310,1925
2025-04-24 08:10:00,5022,5026,5014,5021,22041,22063,22017,22033,8084,804
2025-04-24 08:20:00,5022,5022,5012,5013,22030,22033,21965,21973,6304,944
2025-04-24 08:30:00,5013,5016,5005,5008,21977,21983,21920,21938,9151,1087
2025-04-24 08:40:00,5009,5009,5000,5003,21938,21947,21906,21921,7481,1073
2025-04-24 08:50:00,5003,5007,4998,5000,21922,21936,21905,21915,5153,618
2025-04-24 09:00:00,4999,5007,4993,4995,21916,21955,21895,21908,10171,1017
2025-04-24 09:10:00,4995,5003,4993,4999,21908,21939,21901,21921,6116,598
2025-04-24 09:20:00,4999,5006,4993,4994,21920,21938,21887,21892,5866,683
2025-04-24 09:30:00,4994,5003,4994,5002,21894,21924,21893,21922,6673,1008
2025-04-24 09:40:00,5002,5006,4996,5004,21922,21939,21899,21929,4806,812
2025-04-24 09:50:00,5004,5011,5001,5009,21932,21964,21926,21959,5742,810
2025-04-24 10:00:00,5008,5011,5006,5007,21960,21972,21952,21959,2392,454
2025-04-24 10:10:00,5007,5012,5007,5008,21959,21973,21950,21957,2978,525
2025-04-24 10:20:00,5009,5016,5008,5015,21960,21995,21958,21995,3560,540
2025-04-24 10:30:00,5015,5019,5015,5016,21994,22017,21993,22008,4796,490
2025-04-24 10:40:00,5016,5027,5015,5025,22008,22044,22003,22029,5975,715
2025-04-24 10:50:00,5025,5026,5018,5022,22031,22031,21995,22012,3930,484
2025-04-24 11:00:00,5022,5030,5022,5027,22013,22055,22013,22037,3533,775
2025-04-24 11:10:00,5027,5032,5025,5031,22034,22051,22034,22039,3085,434
2025-04-24 11:20:00,5030,5032,5028,5031,22039,22043,22025,22038,2666,417
2025-04-24 11:30:00,5030,5033,5025,5029,22041,22048,22021,22030,2952,460
2025-04-24 11:40:00,5029,5034,5028,5033,22031,22053,22027,22045,4598,528
2025-04-24 11:50:00,5034,5039,5032,5038,22047,22078,22037,22069,6032,852
2025-04-24 12:00:00,5037,5039,5033,5038,22071,22079,22055,22075,2897,463
2025-04-24 12:10:00,5037,5039,5033,5034,22074,22089,22059,22066,2932,534
2025-04-24 12:20:00,5035,5038,5033,5035,22063,22077,22053,22065,2879,406
2025-04-24 12:30:00,5035,5052,5031,5036,22064,22138,22048,22061,10480,1095
2025-04-24 12:40:00,5036,5036,5029,5034,22062,22066,22030,22054,4447,610
2025-04-24 12:50:00,5034,5038,5034,5038,22054,22072,22054,22064,4014,474
2025-04-24 13:00:00,5037,5039,5031,5033,22064,22075,22039,22045,4358,536
2025-04-24 13:10:00,5034,5039,5033,5038,22046,22068,22043,22065,2916,277
2025-04-24 13:20:00,5039,5040,5027,5028,22066,22072,22026,22027,5094,467
2025-04-24 13:30:00,5028,5039,5028,5038,22038,22069,22013,22065,3923,301
