--- Equity Curve Data ---
                    exit_time      profit  equity_curve
Trade No.
0         2025-04-22 18:00:00   12.460231     12.460231
1         2025-04-23 08:00:00    4.201586     16.661817
2         2025-04-23 15:40:00   -9.877951      6.783866
3         2025-04-24 17:10:00   43.830909     50.614775
4         2025-04-25 04:30:00   38.584546     89.199320
5         2025-04-25 14:30:00   23.600227    112.799547
6         2025-04-29 18:50:00  -68.938409     43.861138
7         2025-04-30 06:20:00   23.292273     67.153410
8         2025-04-30 14:10:00   18.660684     85.814095
9         2025-05-06 01:20:00 -156.107501    -70.293406
10        2025-05-06 13:00:00   10.661817    -59.631588
11        2025-05-07 02:40:00  -12.230682    -71.862270
12        2025-05-07 15:10:00   42.292273    -29.569998
13        2025-05-08 04:00:00    0.614775    -28.955223
14        2025-05-08 15:30:00   58.584546     29.629323
15        2025-05-13 01:20:00 -212.876819   -183.247496
16        2025-05-14 02:20:00  -24.292273   -207.539769
17        2025-05-15 04:20:00  -39.045910   -246.585679
18        2025-05-16 03:10:00  -72.491593   -319.077272
19        2025-05-16 10:40:00   33.323635   -285.753637
20        2025-05-19 01:20:00   12.753637   -273.000000
21        2025-05-20 01:20:00  -64.645004   -337.645004
22        2025-05-20 13:10:00   36.246363   -301.398641
23        2025-05-22 03:00:00  -31.246363   -332.645004
24        2025-05-23 13:00:00    8.505008   -324.139995
25        2025-05-23 15:50:00   27.862270   -296.277725
26        2025-05-26 01:40:00   25.875686   -270.402039
27        2025-05-26 18:10:00  -45.538636   -315.940675
28        2025-05-28 06:00:00  -82.861138   -398.801813
29        2025-05-28 20:20:00   12.184772   -386.617040
30        2025-05-29 15:30:00    8.585679   -378.031362
31        2025-05-30 15:40:00  -17.107501   -395.138862
32        2025-06-02 19:00:00   23.445683   -371.693179
33        2025-06-03 14:50:00    0.200453   -371.492726
34        2025-06-04 10:40:00   32.369544   -339.123181
35        2025-06-04 16:00:00   40.922728   -298.200453
36        2025-06-05 02:20:00   26.123181   -272.077272
37        2025-06-05 17:30:00   12.045910   -260.031362
38        2025-06-06 20:20:00  -36.554317   -296.585679
39        2025-06-09 20:30:00  -31.938409   -328.524088
40        2025-06-11 07:00:00 -143.522955   -472.047043
41        2025-06-11 19:10:00  -12.400906   -484.447949
42        2025-06-12 11:40:00   27.015681   -457.432268
43        2025-06-13 04:10:00   44.200453   -413.231815
44        2025-06-13 07:10:00   58.353864   -354.877951
45        2025-06-13 10:40:00   43.292273   -311.585679
46        2025-06-16 01:30:00    7.584546   -304.001133
47        2025-06-17 15:50:00   24.723408   -279.277725
48        2025-06-18 06:10:00   17.061591   -262.216134
49        2025-06-19 14:00:00   25.107501   -237.108633
-------------------------
