,,,,,,,,,
,Timestamp,Vol,Open,High,Low,Close,SMA (10),"Bollinger (20, 2)[Low]","Bollinger (20, 2)[High]"
,1/8/2025 8:10,2,20689,20700,20689,20700,,,
,1/8/2025 10:40,1,20801,20801,20801,20801,,,
,1/8/2025 13:20,1,20629,20629,20629,20629,20519,,
,1/9/2025 9:00,1,20662,20662,20662,20662,20560,,
,1/9/2025 10:40,1,20631,20631,20631,20631,20593,,
,1/9/2025 12:30,1,20645,20645,20645,20645,20625,,
,1/9/2025 13:00,1,20668,20668,20668,20668,20644,,
,1/9/2025 14:30,1,20681,20681,20681,20681,20662,,
,1/10/2025 13:30,1,20661,20661,20661,20661,20669,,
,1/10/2025 14:20,2,20686,20686,20686,20686,20676,,
,1/10/2025 15:00,11,20630,20630,20586,20586,20665,,
,1/10/2025 15:10,1,20553,20553,20553,20553,20640,,
,1/10/2025 16:00,2,20625,20625,20625,20625,20640,20302,20857
,1/10/2025 18:40,1,20638,20638,20638,20638,20637,20364,20833
,1/10/2025 20:50,2,20569,20569,20569,20569,20631,20422,20802
,1/13/2025 11:20,1,20389,20389,20389,20389,20606,20441,20790
,1/13/2025 18:50,1,20389,20389,20389,20389,20578,20420,20802
,1/14/2025 8:00,1,20580,20580,20580,20580,20568,20430,20800
,1/14/2025 11:20,5,20525,20525,20525,20525,20554,20423,20800
,1/14/2025 13:30,9,20640,20666,20640,20666,20552,20424,20805
,1/15/2025 10:50,1,20517,20517,20517,20517,20545,20414,20796
,1/15/2025 11:20,1,20741,20741,20741,20741,20564,20422,20782
,1/15/2025 11:40,1,20749,20749,20749,20749,20576,20417,20799
,1/15/2025 13:30,9,20801,20902,20801,20902,20603,20391,20849
,1/15/2025 15:00,1,20906,20906,20906,20906,20636,20373,20895
,1/15/2025 15:20,1,20924,20924,20924,20924,20690,20358,20938
,1/15/2025 16:00,1,20951,20951,20951,20951,20746,20343,20981
,1/16/2025 8:30,1,20939,20939,20939,20939,20782,20334,21016
,1/16/2025 11:50,2,20950,20950,20950,20950,20825,20328,21050
,1/17/2025 8:00,1,21058,21058,21058,21058,20864,20313,21103
,1/17/2025 8:10,2,21056,21056,21056,21056,20918,20313,21150
,1/17/2025 8:50,3,21098,21127,21098,21127,20956,20316,21204
,1/17/2025 9:30,4,21173,21173,21173,21173,20999,20314,21261
,1/17/2025 9:40,1,21184,21184,21184,21184,21027,20316,21313
,1/17/2025 10:00,2,21180,21192,21180,21192,21055,20335,21357
,1/17/2025 10:50,1,21176,21176,21176,21176,21081,20401,21370
,1/17/2025 11:40,1,21202,21202,21202,21202,21106,20480,21372
,1/17/2025 11:50,1,21202,21202,21202,21202,21132,20525,21389
,1/17/2025 13:00,1,21202,21202,21202,21202,21157,20595,21387
,1/17/2025 13:30,1,21182,21182,21182,21182,21170,20642,21391
,1/17/2025 14:20,1,21226,21226,21226,21226,21187,20746,21359
,1/17/2025 15:20,1,21209,21209,21209,21209,21195,20798,21353
,1/17/2025 17:10,1,21231,21231,21231,21231,21201,20858,21341
,1/17/2025 18:30,1,21220,21220,21220,21220,21204,20886,21345
,1/17/2025 20:00,1,21210,21210,21210,21210,21206,20919,21342
,1/20/2025 0:10,2,21350,21350,21350,21350,21223,20943,21361
,1/20/2025 1:10,1,21220,21220,21220,21220,21225,20976,21355
,1/20/2025 7:10,1,21209,21209,21209,21209,21226,21020,21338
,1/20/2025 9:10,1,21234,21234,21234,21234,21229,21072,21314
,1/20/2025 10:20,4,21236,21236,21236,21236,21235,21097,21307
,1/20/2025 10:30,2,21248,21248,21240,21240,21236,21129,21294
,1/20/2025 12:10,2,21236,21236,21234,21234,21238,21143,21290
,1/20/2025 13:30,5,21260,21350,21260,21323,21248,21140,21308
,1/20/2025 13:40,3,21322,21326,21312,21326,21258,21139,21324
,1/20/2025 14:00,1,21371,21371,21371,21371,21274,21131,21349
,1/20/2025 17:20,2,21298,21298,21298,21298,21269,21139,21354
,1/20/2025 20:30,1,21341,21341,21341,21341,21281,21140,21366
,1/21/2025 8:20,1,21307,21307,21307,21307,21291,21146,21371
,1/21/2025 14:00,1,21336,21336,21336,21336,21301,21151,21380
,1/21/2025 14:30,1,21333,21333,21333,21333,21311,21161,21384
,1/21/2025 16:40,1,21363,21363,21363,21363,21323,21164,21395
,1/21/2025 17:40,1,21413,21413,21413,21413,21341,21165,21415
,1/21/2025 19:30,1,21418,21418,21418,21418,21351,21166,21433
,1/21/2025 19:50,3,21425,21425,21425,21425,21361,21170,21448
,1/22/2025 7:20,2,21500,21500,21500,21500,21373,21170,21478
,1/22/2025 8:10,1,21506,21506,21506,21506,21394,21158,21505
,1/22/2025 8:40,3,21577,21577,21572,21572,21417,21155,21544
,1/22/2025 10:40,1,21614,21614,21614,21614,21448,21154,21585
,1/22/2025 12:10,1,21646,21646,21646,21646,21479,21153,21627
,1/22/2025 12:40,1,21644,21644,21644,21644,21510,21160,21661
,1/22/2025 13:30,2,21658,21667,21658,21667,21541,21171,21693
,1/22/2025 13:40,1,21640,21640,21640,21640,21563,21193,21712
,1/22/2025 15:40,1,21590,21590,21590,21590,21580,21206,21725
,1/22/2025 16:40,2,21600,21600,21600,21600,21598,21222,21736
,1/22/2025 20:50,1,21574,21574,21574,21574,21605,21234,21745
,1/23/2025 5:00,3,21603,21603,21603,21603,21615,21261,21749
,1/23/2025 8:00,2,21607,21625,21607,21625,21620,21282,21756
,1/23/2025 9:00,2,21606,21607,21606,21607,21620,21315,21753
,1/23/2025 9:30,1,21614,21614,21614,21614,21616,21346,21749
,1/23/2025 9:50,1,21632,21632,21632,21632,21615,21384,21741
,1/23/2025 10:30,1,21654,21654,21654,21654,21614,21420,21735
,1/23/2025 13:20,1,21649,21649,21649,21649,21615,21448,21730
,1/23/2025 13:30,3,21666,21672,21666,21672,21623,21480,21723
,1/23/2025 15:10,1,21672,21672,21672,21672,21630,21520,21708
,1/23/2025 16:00,1,21700,21700,21700,21700,21643,21538,21710
,1/23/2025 16:10,1,21682,21682,21682,21682,21651,21563,21703
,1/23/2025 16:20,1,21736,21736,21736,21736,21662,21563,21719
,1/23/2025 16:40,1,21766,21766,21766,21766,21678,21555,21742
,1/23/2025 17:20,1,21790,21790,21790,21790,21695,21544,21768
,1/23/2025 18:00,1,21791,21791,21791,21791,21711,21537,21790
,1/23/2025 18:20,1,21801,21801,21801,21801,21726,21530,21810
,1/23/2025 19:00,1,21782,21782,21782,21782,21739,21530,21824
,1/23/2025 20:30,3,21800,21815,21800,21815,21754,21535,21842
,1/24/2025 7:40,3,21830,21830,21825,21825,21769,21541,21858
,1/24/2025 8:40,9,21802,21802,21802,21802,21779,21557,21865
,1/24/2025 9:40,1,21836,21836,21836,21836,21794,21568,21877
,1/24/2025 11:20,6,21803,21804,21803,21804,21801,21580,21883
,1/24/2025 11:30,6,21806,21817,21806,21817,21806,21597,21887
,1/24/2025 12:00,5,21805,21805,21805,21805,21808,21617,21886
,1/24/2025 13:40,1,21772,21772,21772,21772,21806,21636,21881
,1/24/2025 15:00,2,21696,21696,21688,21688,21795,21642,21878
,1/24/2025 17:10,1,21723,21723,21723,21723,21789,21656,21872
,1/24/2025 20:20,1,21704,21704,21704,21704,21778,21662,21869
,1/27/2025 7:00,1,21546,21546,21546,21546,21750,21624,21895
,1/27/2025 7:20,1,21533,21533,21533,21533,21723,21585,21917
,1/27/2025 7:30,2,21533,21544,21533,21544,21694,21557,21931
,1/27/2025 7:50,2,21512,21512,21501,21501,21663,21517,21947
,1/27/2025 8:00,1,21519,21519,21519,21519,21634,21486,21953
,1/27/2025 8:40,3,21463,21481,21463,21481,21601,21451,21958
,1/27/2025 10:10,2,21486,21486,21486,21486,21573,21422,21956
,1/27/2025 11:00,1,21451,21451,21451,21451,21549,21391,21952
,1/27/2025 11:30,1,21502,21502,21502,21502,21527,21373,21943
,1/27/2025 12:40,5,21545,21547,21545,21547,21511,21365,21924
,1/27/2025 13:50,1,21554,21554,21554,21554,21512,21362,21900
,1/27/2025 14:40,2,21593,21595,21593,21595,21518,21363,21878
,1/27/2025 14:50,1,21600,21600,21600,21600,21524,21371,21847
,1/27/2025 15:00,1,21628,21628,21628,21628,21536,21379,21821
,1/27/2025 15:20,1,21640,21640,21640,21640,21548,21393,21789
,1/27/2025 15:30,1,21650,21650,21650,21650,21565,21408,21758
,1/27/2025 16:50,1,21635,21635,21635,21635,21580,21422,21731
,1/27/2025 17:20,1,21613,21613,21613,21613,21596,21426,21720
,1/28/2025 6:00,2,21700,21700,21700,21700,21616,21429,21714
,1/28/2025 7:30,1,21726,21726,21726,21726,21634,21426,21719
,1/28/2025 8:10,4,21673,21677,21672,21677,21646,21426,21732
,1/28/2025 8:50,4,21664,21664,21663,21663,21653,21430,21741
,1/28/2025 12:00,1,21744,21744,21744,21744,21668,21427,21765
,1/28/2025 12:10,1,21741,21741,21741,21741,21679,21433,21782
,1/28/2025 12:30,5,21775,21775,21775,21775,21692,21437,21804
,1/28/2025 12:40,2,21799,21799,21799,21799,21707,21449,21824
,1/28/2025 12:50,4,21796,21796,21794,21794,21723,21465,21838
,1/28/2025 13:00,8,21817,21817,21792,21792,21741,21497,21840
,1/28/2025 13:20,4,21791,21791,21791,21791,21750,21522,21845
,1/28/2025 14:00,1,21783,21783,21783,21783,21756,21541,21849
,1/28/2025 14:50,8,21713,21736,21711,21736,21762,21563,21845
,1/28/2025 15:00,4,21760,21760,21760,21760,21772,21579,21846
,1/28/2025 15:50,4,21791,21791,21791,21791,21776,21595,21849
,1/28/2025 17:30,1,21803,21803,21803,21803,21782,21607,21855
,1/28/2025 18:40,1,21813,21813,21813,21813,21786,21618,21861
,1/28/2025 18:50,1,21804,21804,21804,21804,21787,21629,21865
,1/29/2025 9:40,1,21868,21868,21868,21868,21794,21642,21876
,1/29/2025 11:10,1,21949,21949,21949,21949,21810,21651,21900
,1/29/2025 14:10,1,21950,21950,21950,21950,21826,21647,21929
,1/29/2025 14:30,1,21962,21962,21962,21962,21844,21643,21957
,1/29/2025 14:40,1,21967,21967,21967,21967,21867,21652,21977
,1/29/2025 14:50,1,21963,21963,21963,21963,21887,21670,21988
,1/29/2025 15:00,5,21989,22001,21989,22001,21908,21671,22013
,1/29/2025 16:00,2,21950,21950,21950,21950,21923,21682,22023
,1/29/2025 17:20,1,21985,21985,21985,21985,21940,21688,22039
,1/29/2025 17:50,2,21980,21980,21980,21980,21958,21692,22052
,1/29/2025 19:00,1,21947,21947,21947,21947,21965,21701,22059
,1/29/2025 19:10,1,21934,21934,21934,21934,21964,21711,22063
,1/29/2025 19:30,1,21966,21966,21966,21966,21966,21722,22069
,1/30/2025 10:20,1,22030,22030,22030,22030,21972,21733,22083
,1/30/2025 12:40,2,22022,22022,22022,22022,21978,21760,22085
,1/30/2025 13:30,1,22024,22024,22024,22024,21984,21786,22085
,1/30/2025 15:40,1,22050,22050,22050,22050,21989,21806,22091
,1/30/2025 16:00,1,22028,22028,22028,22028,21997,21830,22089
,1/30/2025 16:30,1,22069,22069,22069,22069,22005,21853,22092
,1/30/2025 16:50,2,22100,22100,22096,22096,22017,21883,22091
,1/30/2025 17:40,1,22096,22096,22096,22096,22032,21900,22097
,1/30/2025 18:20,1,22103,22103,22103,22103,22048,21900,22112
,1/30/2025 18:40,1,22105,22105,22105,22105,22062,21903,22125
,1/30/2025 20:00,2,22125,22125,22125,22125,22072,21904,22140
,1/30/2025 20:40,3,22012,22049,22000,22049,22075,21910,22142
,1/31/2025 11:00,1,22100,22100,22100,22100,22082,21917,22149
,1/31/2025 14:10,1,22085,22085,22085,22085,22086,21920,22155
,1/31/2025 17:00,1,22064,22064,22064,22064,22089,21932,22154
,1/31/2025 18:20,1,22071,22071,22071,22071,22089,21939,22155
,1/31/2025 18:30,1,21990,21990,21990,21990,22079,21941,22155
,1/31/2025 19:20,1,21950,21950,21950,21950,22064,21941,22154
,2/3/2025 0:10,3,21651,21651,21580,21580,22012,21804,22257
,2/3/2025 0:20,4,21553,21553,21443,21466,21948,21671,22339
,2/3/2025 0:30,1,21514,21514,21514,21514,21887,21583,22376
,2/3/2025 1:20,1,21567,21567,21567,21567,21839,21522,22391
,2/3/2025 1:50,1,21519,21519,21519,21519,21781,21459,22404
,2/3/2025 2:50,1,21453,21453,21453,21453,21717,21389,22414
,2/3/2025 3:10,4,21508,21508,21504,21505,21662,21338,22412
,2/3/2025 3:20,1,21515,21515,21515,21515,21606,21296,22399
,2/3/2025 4:20,2,21543,21543,21516,21516,21559,21262,22375
,2/3/2025 4:50,1,21475,21475,21475,21475,21511,21227,22348
,2/3/2025 7:10,1,21578,21578,21578,21578,21511,21213,22310
,2/3/2025 7:20,1,21610,21610,21610,21610,21525,21208,22265
,2/3/2025 7:50,1,21580,21580,21580,21580,21532,21208,22210
,2/3/2025 8:10,7,21649,21656,21648,21656,21541,21213,22166
,2/3/2025 8:20,16,21717,21723,21691,21691,21558,21232,22107
,2/3/2025 8:50,5,21719,21721,21719,21721,21585,21256,22046
,2/3/2025 9:20,1,21665,21665,21665,21665,21601,21284,21978
,2/3/2025 9:30,1,21662,21662,21662,21662,21615,21327,21894
,2/3/2025 9:40,3,21662,21665,21662,21665,21630,21369,21820
,2/3/2025 9:50,1,21640,21640,21640,21640,21647,21420,21738
,2/3/2025 10:20,3,21600,21621,21600,21621,21651,21421,21741
,2/3/2025 10:30,1,21648,21648,21648,21648,21655,21437,21743
,2/3/2025 10:40,1,21673,21673,21673,21673,21664,21445,21751
,2/3/2025 13:00,1,21702,21702,21702,21702,21669,21446,21764
,2/3/2025 13:20,1,21695,21695,21695,21695,21669,21455,21772
,2/3/2025 14:10,1,21682,21682,21682,21682,21665,21482,21768
,2/3/2025 15:00,1,21633,21633,21633,21633,21662,21500,21763
,2/3/2025 15:10,1,21623,21623,21623,21623,21658,21516,21757
,2/3/2025 15:20,9,21621,21760,21621,21759,21668,21531,21767
,2/3/2025 15:50,5,21742,21742,21742,21742,21678,21568,21757
,2/3/2025 16:00,1,21745,21745,21745,21745,21690,21578,21763
,2/3/2025 16:10,4,21725,21725,21725,21725,21698,21585,21768
,2/3/2025 16:20,4,21733,21733,21733,21733,21704,21601,21767
,2/3/2025 16:30,2,21755,21755,21755,21755,21709,21602,21776
,2/3/2025 16:40,2,21763,21763,21763,21763,21716,21600,21786
,2/3/2025 17:50,1,21712,21712,21712,21712,21719,21600,21785
,2/3/2025 19:00,2,21744,21745,21744,21745,21730,21602,21791
,2/3/2025 19:10,1,21772,21772,21772,21772,21745,21603,21800
,2/3/2025 19:20,1,21761,21761,21761,21761,21745,21606,21807
,2/3/2025 19:40,1,21778,21778,21778,21778,21749,21613,21813
,2/4/2025 5:00,1,21670,21670,21670,21670,21741,21623,21809
,2/4/2025 7:10,1,21754,21754,21754,21754,21744,21632,21810
,2/4/2025 7:20,4,21793,21793,21793,21793,21750,21636,21818
,2/4/2025 8:00,1,21801,21801,21801,21801,21755,21636,21828
,2/4/2025 8:30,1,21685,21685,21685,21685,21747,21635,21828
,2/4/2025 8:50,1,21681,21681,21681,21681,21744,21635,21828
,2/4/2025 9:00,2,21716,21717,21716,21717,21741,21650,21822
