Timestamp,FESX_Unnamed: 0,FESX_Vol,FESX_Open,FESX_High,FESX_Low,FESX_Close,FESX_SMA (10),"FESX_Bollinger (20, 2)[Low]","FESX_Bollinger (20, 2)[High]",FDXM_Unnamed: 0,FDXM_Vol,FDXM_Open,FDXM_High,FDXM_Low,FDXM_Close,FDXM_SMA (10),"FDXM_Bollinger (20, 2)[Low]","FDXM_Bollinger (20, 2)[High]"
2025-01-08 10:40:00,,5,4987,4987,4987,4987,4971.0,4908.0,4996.0,,1,20801,20801,20801,20801,,,
2025-01-10 15:00:00,,1,4950,4950,4950,4950,4966.0,4937.0,5005.0,,11,20630,20630,20586,20586,20665.0,,
2025-01-14 13:30:00,,15,4966,4966,4966,4966,4923.0,4873.0,5007.0,,9,20640,20666,20640,20666,20552.0,20424.0,20805.0
2025-01-16 11:50:00,,2,5055,5057,5055,5057,5020.0,4859.0,5084.0,,2,20950,20950,20950,20950,20825.0,20328.0,21050.0
2025-01-17 08:10:00,,1,5079,5079,5079,5079,5060.0,4969.0,5101.0,,2,21056,21056,21056,21056,20918.0,20313.0,21150.0
2025-01-17 09:30:00,,1,5100,5100,5100,5100,5075.0,5003.0,5112.0,,4,21173,21173,21173,21173,20999.0,20314.0,21261.0
2025-01-17 10:50:00,,1,5100,5100,5100,5100,5080.0,5013.0,5112.0,,1,21176,21176,21176,21176,21081.0,20401.0,21370.0
2025-01-20 12:10:00,,4,5104,5104,5104,5104,5101.0,5035.0,5126.0,,2,21236,21236,21234,21234,21238.0,21143.0,21290.0
2025-01-20 13:30:00,,61,5100,5116,5099,5116,5106.0,5041.0,5131.0,,5,21260,21350,21260,21323,21248.0,21140.0,21308.0
2025-01-20 14:00:00,,3,5135,5135,5132,5132,5111.0,5047.0,5139.0,,1,21371,21371,21371,21371,21274.0,21131.0,21349.0
2025-01-20 17:20:00,,6,5115,5115,5103,5103,5115.0,5068.0,5138.0,,2,21298,21298,21298,21298,21269.0,21139.0,21354.0
2025-01-21 17:40:00,,1,5133,5133,5133,5133,5121.0,5093.0,5136.0,,1,21413,21413,21413,21413,21341.0,21165.0,21415.0
2025-01-22 08:10:00,,1,5136,5136,5136,5136,5122.0,5095.0,5140.0,,1,21506,21506,21506,21506,21394.0,21158.0,21505.0
2025-01-22 10:40:00,,1,5163,5163,5163,5163,5145.0,5091.0,5172.0,,1,21614,21614,21614,21614,21448.0,21154.0,21585.0
2025-01-22 12:10:00,,1,5185,5185,5185,5185,5162.0,5092.0,5190.0,,1,21646,21646,21646,21646,21479.0,21153.0,21627.0
2025-01-22 16:40:00,,5,5171,5171,5171,5171,5170.0,5108.0,5197.0,,2,21600,21600,21600,21600,21598.0,21222.0,21736.0
2025-01-23 13:30:00,,1,5163,5163,5163,5163,5166.0,5134.0,5189.0,,3,21666,21672,21666,21672,21623.0,21480.0,21723.0
2025-01-23 16:10:00,,1,5170,5170,5170,5170,5164.0,5144.0,5186.0,,1,21682,21682,21682,21682,21651.0,21563.0,21703.0
2025-01-23 18:20:00,,1,5183,5183,5183,5183,5169.0,5152.0,5186.0,,1,21801,21801,21801,21801,21726.0,21530.0,21810.0
2025-01-24 17:10:00,,20,5172,5172,5171,5171,5194.0,5148.0,5217.0,,1,21723,21723,21723,21723,21789.0,21656.0,21872.0
2025-01-27 07:00:00,,5,5112,5112,5112,5112,5181.0,5136.0,5225.0,,1,21546,21546,21546,21546,21750.0,21624.0,21895.0
2025-01-27 07:20:00,,1,5105,5105,5105,5105,5160.0,5112.0,5238.0,,1,21533,21533,21533,21533,21723.0,21585.0,21917.0
2025-01-27 07:50:00,,1,5098,5098,5098,5098,5150.0,5100.0,5243.0,,2,21512,21512,21501,21501,21663.0,21517.0,21947.0
2025-01-27 08:00:00,,4,5112,5122,5108,5108,5141.0,5091.0,5245.0,,1,21519,21519,21519,21519,21634.0,21486.0,21953.0
2025-01-27 08:40:00,,3,5110,5110,5106,5106,5132.0,5083.0,5246.0,,3,21463,21481,21463,21481,21601.0,21451.0,21958.0
2025-01-27 11:30:00,,1,5108,5108,5108,5108,5110.0,5061.0,5243.0,,1,21502,21502,21502,21502,21527.0,21373.0,21943.0
2025-01-27 13:50:00,,1,5122,5122,5122,5122,5108.0,5059.0,5219.0,,1,21554,21554,21554,21554,21512.0,21362.0,21900.0
2025-01-27 15:00:00,,4,5147,5147,5147,5147,5115.0,5066.0,5199.0,,1,21628,21628,21628,21628,21536.0,21379.0,21821.0
2025-01-27 15:30:00,,1,5148,5148,5148,5148,5119.0,5070.0,5190.0,,1,21650,21650,21650,21650,21565.0,21408.0,21758.0
2025-01-27 17:20:00,,1,5153,5153,5153,5153,5130.0,5075.0,5179.0,,1,21613,21613,21613,21613,21596.0,21426.0,21720.0
2025-01-28 07:30:00,,5,5154,5154,5154,5154,5143.0,5081.0,5168.0,,1,21726,21726,21726,21726,21634.0,21426.0,21719.0
2025-01-28 08:10:00,,2,5150,5150,5150,5150,5146.0,5082.0,5171.0,,4,21673,21677,21672,21677,21646.0,21426.0,21732.0
2025-01-29 19:10:00,,6,5176,5176,5176,5176,5174.0,5125.0,5206.0,,1,21934,21934,21934,21934,21964.0,21711.0,22063.0
2025-01-30 13:30:00,,1,5223,5223,5223,5223,5206.0,5122.0,5245.0,,1,22024,22024,22024,22024,21984.0,21786.0,22085.0
2025-01-30 16:00:00,,4,5231,5234,5231,5234,5216.0,5125.0,5258.0,,1,22028,22028,22028,22028,21997.0,21830.0,22089.0
2025-01-30 16:50:00,,3,5252,5252,5251,5251,5231.0,5147.0,5265.0,,2,22100,22100,22096,22096,22017.0,21883.0,22091.0
2025-01-31 18:20:00,,13,5239,5247,5239,5247,5251.0,5221.0,5267.0,,1,22071,22071,22071,22071,22089.0,21939.0,22155.0
2025-02-03 00:10:00,,14,5142,5142,5103,5104,5224.0,5168.0,5303.0,,3,21651,21651,21580,21580,22012.0,21804.0,22257.0
2025-02-03 00:20:00,,1,5104,5104,5104,5104,5208.0,5140.0,5318.0,,4,21553,21553,21443,21466,21948.0,21671.0,22339.0
2025-02-03 07:10:00,,3,5110,5110,5110,5110,5133.0,5053.0,5332.0,,1,21578,21578,21578,21578,21511.0,21213.0,22310.0
2025-02-03 08:10:00,,1,5135,5135,5135,5135,5108.0,5037.0,5310.0,,7,21649,21656,21648,21656,21541.0,21213.0,22166.0
2025-02-03 09:30:00,,1,5143,5143,5143,5143,5116.0,5039.0,5286.0,,1,21662,21662,21662,21662,21615.0,21327.0,21894.0
2025-02-03 09:50:00,,1,5140,5140,5140,5140,5122.0,5040.0,5273.0,,1,21640,21640,21640,21640,21647.0,21420.0,21738.0
2025-02-03 16:00:00,,2,5166,5166,5166,5166,5145.0,5061.0,5217.0,,1,21745,21745,21745,21745,21690.0,21578.0,21763.0
2025-02-03 17:50:00,,3,5150,5158,5150,5158,5150.0,5067.0,5205.0,,1,21712,21712,21712,21712,21719.0,21600.0,21785.0
2025-02-04 08:30:00,,3,5160,5160,5160,5160,5152.0,5072.0,5194.0,,1,21685,21685,21685,21685,21747.0,21635.0,21828.0
2025-02-04 09:00:00,,1,5164,5164,5164,5164,5155.0,5077.0,5186.0,,2,21716,21717,21716,21717,21741.0,21650.0,21822.0
2025-02-04 09:10:00,,3,5170,5170,5170,5170,5157.0,5080.0,5190.0,,1,21735,21735,21735,21735,21738.0,21672.0,21810.0
2025-02-04 14:30:00,,3,5202,5202,5202,5202,5169.0,5087.0,5204.0,,2,21793,21793,21790,21790,21750.0,21673.0,21831.0
2025-02-04 16:30:00,,8,5220,5220,5220,5220,5187.0,5099.0,5227.0,,5,21825,21825,21825,21825,21778.0,21674.0,21847.0
2025-02-05 14:50:00,,1,5207,5207,5207,5207,5210.0,5134.0,5239.0,,1,21839,21839,21839,21839,21795.0,21679.0,21867.0
2025-02-05 20:50:00,,1,5240,5240,5240,5240,5218.0,5165.0,5248.0,,1,21960,21960,21960,21960,21812.0,21657.0,21905.0
2025-02-06 08:50:00,,1,5257,5257,5257,5257,5223.0,5170.0,5253.0,,1,22070,22070,22070,22070,21881.0,21626.0,22044.0
2025-02-06 09:10:00,,2,5260,5260,5259,5259,5232.0,5183.0,5259.0,,1,22051,22051,22051,22051,21909.0,21627.0,22074.0
2025-02-06 12:30:00,,1,5264,5264,5264,5264,5259.0,5193.0,5284.0,,1,22090,22090,22090,22090,22072.0,21665.0,22220.0
2025-02-06 15:00:00,,1,5298,5298,5298,5298,5268.0,5200.0,5299.0,,7,22184,22192,22174,22189,22102.0,21730.0,22281.0
2025-02-06 15:10:00,,1,5301,5301,5301,5301,5272.0,5204.0,5305.0,,1,22206,22206,22206,22206,22115.0,21781.0,22281.0
2025-02-06 15:20:00,,3,5294,5295,5294,5295,5275.0,5212.0,5306.0,,3,22184,22184,22162,22162,22121.0,21832.0,22271.0
2025-02-06 15:30:00,,1,5292,5292,5292,5292,5278.0,5220.0,5307.0,,10,22155,22155,22151,22151,22125.0,21876.0,22262.0
2025-02-06 18:10:00,,13,5303,5305,5303,5305,5294.0,5239.0,5314.0,,4,22203,22207,22203,22207,22178.0,22012.0,22243.0
2025-02-10 08:00:00,,3,5294,5294,5294,5294,5279.0,5265.0,5310.0,,10,22163,22174,22160,22168,22216.0,22074.0,22283.0
2025-02-10 16:00:00,,3,5310,5311,5310,5311,5293.0,5265.0,5311.0,,5,22251,22251,22251,22251,22202.0,22126.0,22272.0
2025-02-10 20:00:00,,1,5319,5319,5319,5319,5301.0,5261.0,5321.0,,1,22248,22248,22248,22248,22204.0,22126.0,22282.0
2025-02-11 15:10:00,,1,5340,5340,5340,5340,5318.0,5258.0,5343.0,,1,22309,22309,22309,22309,22262.0,22135.0,22327.0
2025-02-11 15:20:00,,2,5338,5340,5338,5340,5322.0,5260.0,5348.0,,1,22309,22309,22309,22309,22268.0,22133.0,22337.0
2025-02-11 15:30:00,,1,5342,5342,5342,5342,5326.0,5261.0,5352.0,,1,22321,22321,22321,22321,22275.0,22131.0,22348.0
2025-02-11 15:50:00,,1,5343,5343,5343,5343,5330.0,5264.0,5356.0,,2,22329,22329,22329,22329,22290.0,22128.0,22366.0
2025-02-11 19:30:00,,1,5350,5350,5350,5350,5341.0,5285.0,5362.0,,1,22375,22375,22375,22375,22343.0,22216.0,22395.0
2025-02-11 19:40:00,,1,5352,5352,5352,5352,5343.0,5288.0,5364.0,,5,22389,22400,22389,22400,22351.0,22219.0,22408.0
2025-02-12 09:00:00,,4,5359,5359,5358,5358,5352.0,5312.0,5370.0,,6,22425,22425,22417,22417,22393.0,22283.0,22438.0
2025-02-12 11:00:00,,1,5350,5350,5350,5350,5356.0,5335.0,5364.0,,1,22400,22400,22400,22400,22399.0,22290.0,22440.0
2025-02-12 13:30:00,,3,5326,5326,5317,5318,5351.0,5331.0,5368.0,,1,22353,22353,22353,22353,22400.0,22305.0,22438.0
2025-02-12 13:40:00,,6,5327,5333,5327,5333,5349.0,5330.0,5369.0,,7,22340,22381,22335,22381,22398.0,22312.0,22437.0
2025-02-12 15:20:00,,6,5358,5362,5358,5362,5346.0,5328.0,5372.0,,1,22428,22428,22428,22428,22400.0,22333.0,22443.0
2025-02-12 15:30:00,,125,5367,5368,5367,5368,5347.0,5328.0,5374.0,,3,22480,22512,22480,22512,22410.0,22324.0,22469.0
2025-02-12 17:10:00,,5,5390,5390,5390,5390,5362.0,5324.0,5389.0,,1,22565,22565,22565,22565,22438.0,22307.0,22524.0
2025-02-12 20:40:00,,1,5398,5398,5398,5398,5383.0,5320.0,5411.0,,2,22609,22609,22609,22609,22546.0,22290.0,22653.0
2025-02-12 20:50:00,,1,5398,5398,5398,5398,5386.0,5321.0,5415.0,,4,22609,22615,22609,22615,22566.0,22292.0,22671.0
2025-02-13 07:40:00,,3,5411,5411,5411,5411,5391.0,5321.0,5421.0,,2,22754,22754,22742,22742,22720.0,22461.0,22825.0
2025-02-13 07:50:00,,2,5406,5406,5406,5406,5395.0,5322.0,5425.0,,1,22739,22739,22739,22739,22725.0,22501.0,22816.0
2025-02-13 08:10:00,,8,5404,5411,5404,5408,5398.0,5324.0,5429.0,,1,22698,22698,22698,22698,22728.0,22524.0,22811.0
2025-02-13 09:10:00,,1,5397,5397,5397,5397,5400.0,5342.0,5425.0,,1,22649,22649,22649,22649,22716.0,22557.0,22796.0
2025-02-13 10:50:00,,2,5425,5428,5425,5428,5405.0,5357.0,5427.0,,5,22785,22792,22785,22792,22724.0,22590.0,22813.0
2025-02-13 11:30:00,,1,5440,5440,5440,5440,5409.0,5358.0,5434.0,,10,22867,22872,22865,22865,22761.0,22615.0,22871.0
2025-02-13 11:40:00,,24,5438,5438,5432,5432,5413.0,5361.0,5437.0,,6,22868,22868,22850,22850,22776.0,22621.0,22883.0
2025-02-13 12:50:00,,9,5430,5430,5430,5430,5415.0,5367.0,5439.0,,1,22804,22804,22804,22804,22816.0,22640.0,22894.0
2025-02-13 15:00:00,,7,5450,5454,5443,5443,5425.0,5375.0,5449.0,,13,22854,22864,22848,22848,22826.0,22672.0,22930.0
2025-02-13 16:30:00,,1,5455,5455,5455,5455,5440.0,5384.0,5462.0,,2,22922,22930,22922,22930,22866.0,22763.0,22928.0
2025-02-13 18:40:00,,96,5429,5432,5415,5431,5441.0,5390.0,5464.0,,2,22800,22800,22785,22785,22873.0,22766.0,22939.0
2025-02-13 20:50:00,,1,5422,5422,5422,5422,5437.0,5400.0,5461.0,,1,22803,22803,22803,22803,22837.0,22759.0,22935.0
2025-02-14 07:00:00,,2,5440,5445,5440,5445,5437.0,5406.0,5460.0,,1,22816,22816,22816,22816,22816.0,22751.0,22935.0
2025-02-14 07:10:00,,2,5448,5448,5448,5448,5438.0,5413.0,5458.0,,4,22835,22835,22835,22835,22809.0,22751.0,22935.0
2025-02-14 07:30:00,,1,5452,5452,5452,5452,5438.0,5419.0,5457.0,,1,22846,22846,22846,22846,22819.0,22755.0,22937.0
2025-02-14 08:40:00,,4,5457,5457,5455,5455,5439.0,5420.0,5460.0,,1,22870,22870,22870,22870,22830.0,22753.0,22937.0
2025-02-14 09:00:00,,2,5470,5471,5470,5471,5443.0,5418.0,5466.0,,1,22888,22888,22888,22888,22838.0,22754.0,22935.0
2025-02-14 09:20:00,,1,5471,5471,5471,5471,5447.0,5417.0,5471.0,,2,22880,22880,22880,22880,22846.0,22761.0,22921.0
2025-02-14 09:40:00,,9,5474,5475,5474,5475,5452.0,5417.0,5475.0,,2,22903,22913,22903,22913,22858.0,22764.0,22917.0
2025-02-14 10:30:00,,2,5460,5460,5456,5456,5459.0,5418.0,5478.0,,6,22834,22834,22823,22825,22873.0,22772.0,22920.0
2025-02-14 11:50:00,,1,5471,5471,5471,5471,5464.0,5419.0,5484.0,,1,22864,22864,22864,22864,22875.0,22777.0,22921.0
2025-02-14 14:50:00,,5,5471,5471,5471,5471,5468.0,5425.0,5489.0,,2,22868,22868,22856,22856,22856.0,22809.0,22912.0
2025-02-17 09:10:00,,12,5458,5459,5458,5458,5451.0,5439.0,5479.0,,3,22912,22918,22911,22918,22834.0,22775.0,22915.0
2025-02-17 09:50:00,,47,5463,5466,5463,5463,5452.0,5439.0,5477.0,,15,23010,23012,23005,23005,22899.0,22746.0,22986.0
2025-02-17 10:40:00,,2,5468,5468,5468,5468,5454.0,5439.0,5478.0,,1,22998,22998,22998,22998,22963.0,22740.0,23048.0
2025-02-17 11:40:00,,7,5464,5464,5464,5464,5458.0,5440.0,5479.0,,3,22989,22990,22989,22990,22980.0,22746.0,23068.0
2025-02-17 12:30:00,,8,5469,5470,5469,5470,5461.0,5440.0,5479.0,,1,23010,23010,23010,23010,22996.0,22789.0,23084.0
2025-02-17 12:40:00,,30,5471,5473,5467,5467,5464.0,5440.0,5478.0,,1,23018,23018,23018,23018,22997.0,22814.0,23082.0
2025-02-17 12:50:00,,24,5467,5467,5464,5467,5465.0,5440.0,5478.0,,1,23006,23006,23006,23006,22998.0,22836.0,23079.0
2025-02-17 14:40:00,,4,5471,5471,5471,5471,5467.0,5440.0,5478.0,,2,23028,23036,23028,23036,23006.0,22911.0,23058.0
2025-02-17 15:00:00,,3,5473,5475,5473,5475,5469.0,5441.0,5480.0,,5,23052,23058,23046,23058,23021.0,22938.0,23062.0
2025-02-17 15:30:00,,1,5475,5475,5475,5475,5469.0,5442.0,5481.0,,3,23038,23045,23038,23045,23030.0,22960.0,23062.0
2025-02-17 16:00:00,,2,5480,5480,5480,5480,5470.0,5442.0,5484.0,,2,23088,23088,23087,23087,23043.0,22957.0,23083.0
2025-02-17 16:10:00,,46,5482,5484,5482,5484,5472.0,5442.0,5487.0,,35,23095,23107,23095,23098,23052.0,22955.0,23096.0
2025-02-17 20:00:00,,1,5482,5482,5482,5482,5475.0,5448.0,5488.0,,2,23146,23149,23146,23149,23111.0,22987.0,23161.0
2025-02-17 20:40:00,,2,5484,5485,5484,5485,5477.0,5452.0,5488.0,,2,23170,23175,23170,23175,23132.0,23003.0,23189.0
2025-02-18 08:40:00,,1,5473,5473,5473,5473,5481.0,5461.0,5490.0,,1,23079,23079,23079,23079,23125.0,23073.0,23198.0
2025-02-18 14:00:00,,1,5501,5501,5501,5501,5483.0,5464.0,5500.0,,10,23155,23158,23155,23157,23088.0,23026.0,23194.0
2025-02-18 16:40:00,,20,5489,5490,5489,5490,5493.0,5465.0,5505.0,,1,23156,23156,23156,23156,23125.0,23024.0,23204.0
2025-02-19 10:00:00,,2,5485,5485,5485,5485,5492.0,5469.0,5507.0,,1,23138,23138,23138,23138,23178.0,23121.0,23210.0
2025-02-19 10:20:00,,33,5484,5484,5477,5477,5489.0,5474.0,5505.0,,2,23121,23121,23102,23102,23172.0,23112.0,23216.0
2025-02-19 10:30:00,,5,5475,5475,5469,5469,5487.0,5473.0,5505.0,,8,23077,23077,23067,23076,23163.0,23095.0,23224.0
2025-02-19 11:20:00,,1,5447,5447,5447,5447,5476.0,5455.0,5515.0,,5,22965,22965,22948,22948,23126.0,23020.0,23268.0
2025-02-19 12:10:00,,1,5452,5452,5452,5452,5467.0,5445.0,5516.0,,1,22955,22955,22955,22955,23048.0,22922.0,23300.0
2025-02-19 13:40:00,,1,5436,5436,5436,5436,5449.0,5425.0,5513.0,,8,22859,22860,22859,22860,22993.0,22863.0,23311.0
2025-02-19 14:00:00,,1,5434,5434,5434,5434,5446.0,5422.0,5511.0,,4,22840,22858,22840,22858,22940.0,22801.0,23311.0
2025-02-19 14:30:00,,7,5428,5428,5421,5421,5441.0,5416.0,5510.0,,2,22818,22818,22784,22784,22881.0,22720.0,23287.0
2025-02-19 14:40:00,,59,5427,5428,5417,5417,5438.0,5410.0,5507.0,,5,22796,22797,22755,22755,22862.0,22693.0,23271.0
2025-02-19 14:50:00,,5,5415,5415,5413,5414,5434.0,5405.0,5505.0,,4,22758,22758,22751,22756,22846.0,22674.0,23244.0
2025-02-19 15:20:00,,1,5420,5420,5420,5420,5432.0,5402.0,5500.0,,1,22770,22770,22770,22770,22801.0,22663.0,23130.0
2025-02-19 15:30:00,,15,5426,5430,5422,5422,5429.0,5401.0,5494.0,,7,22785,22816,22782,22782,22793.0,22669.0,23089.0
2025-02-19 15:50:00,,2,5410,5410,5409,5409,5425.0,5399.0,5489.0,,6,22712,22713,22712,22713,22767.0,22668.0,23017.0
2025-02-19 16:20:00,,7,5414,5414,5413,5413,5422.0,5397.0,5483.0,,1,22735,22735,22735,22735,22753.0,22662.0,22972.0
2025-02-19 17:00:00,,1,5414,5414,5414,5414,5416.0,5400.0,5457.0,,2,22717,22717,22717,22717,22749.0,22656.0,22955.0
2025-02-19 17:20:00,,1,5406,5406,5406,5406,5415.0,5399.0,5454.0,,1,22701,22701,22701,22701,22743.0,22648.0,22941.0
2025-02-19 20:50:00,,1,5414,5414,5414,5414,5412.0,5397.0,5443.0,,1,22729,22729,22729,22729,22721.0,22654.0,22868.0
2025-02-20 06:40:00,,2,5427,5427,5427,5427,5415.0,5400.0,5438.0,,2,22761,22761,22761,22761,22728.0,22677.0,22804.0
2025-02-20 07:30:00,,1,5431,5431,5431,5431,5417.0,5401.0,5436.0,,1,22830,22830,22830,22830,22749.0,22668.0,22825.0
2025-02-20 08:00:00,,7,5432,5435,5429,5430,5418.0,5402.0,5435.0,,12,22791,22791,22755,22755,22768.0,22668.0,22825.0
2025-02-20 08:20:00,,2,5433,5441,5433,5441,5422.0,5400.0,5438.0,,1,22770,22770,22770,22770,22772.0,22668.0,22825.0
2025-02-20 08:30:00,,1,5436,5436,5436,5436,5425.0,5400.0,5440.0,,1,22792,22792,22792,22792,22779.0,22667.0,22827.0
2025-02-20 09:20:00,,1,5445,5445,5445,5445,5432.0,5399.0,5446.0,,4,22827,22840,22827,22830,22794.0,22667.0,22845.0
2025-02-20 09:30:00,,2,5448,5450,5448,5450,5435.0,5397.0,5450.0,,2,22843,22852,22843,22852,22800.0,22666.0,22859.0
2025-02-20 09:40:00,,1,5450,5450,5450,5450,5438.0,5398.0,5454.0,,2,22852,22852,22852,22852,22809.0,22665.0,22872.0
2025-02-20 09:50:00,,15,5449,5449,5449,5449,5440.0,5399.0,5457.0,,1,22850,22850,22850,22850,22814.0,22669.0,22881.0
2025-02-20 14:30:00,,3,5441,5442,5441,5442,5444.0,5403.0,5462.0,,9,22786,22807,22786,22803,22802.0,22742.0,22869.0
