timestamp,FESX_open,FESX_high,FESX_low,FESX_close,FDXM_open,FDXM_high,FDXM_low,FDXM_close,FESX_vol,FDXM_vol
2025-05-30 20:20:00,5371,5374,5369,5373,24058,24071,24052,24062,1423,71
2025-05-30 20:30:00,5373,5377,5370,5374,24058,24078,24053,24064,1870,82
2025-05-30 20:40:00,5373,5374,5370,5373,24062,24075,24053,24069,2038,78
2025-05-30 20:50:00,5373,5380,5368,5368,24069,24090,24062,24069,8719,175
2025-06-02 01:10:00,5365,5371,5364,5369,24004,24047,23984,24034,411,178
2025-06-02 01:20:00,5369,5372,5366,5366,24035,24047,24035,24040,355,83
2025-06-02 01:30:00,5366,5368,5364,5367,24037,24043,24032,24043,258,30
2025-06-02 01:40:00,5366,5368,5366,5366,24040,24041,24034,24035,247,30
2025-06-02 01:50:00,5365,5365,5363,5364,24032,24033,24024,24027,127,24
2025-06-02 02:00:00,5365,5367,5362,5365,24030,24037,24026,24033,334,46
2025-06-02 02:10:00,5365,5368,5364,5366,24041,24041,24033,24036,203,15
2025-06-02 02:20:00,5365,5367,5362,5362,24033,24039,24029,24029,155,32
2025-06-02 02:30:00,5362,5362,5356,5358,24028,24030,24012,24018,379,67
2025-06-02 02:40:00,5358,5358,5354,5357,24019,24019,24007,24012,211,33
2025-06-02 02:50:00,5357,5357,5354,5356,24013,24013,24005,24011,216,26
2025-06-02 03:00:00,5356,5357,5355,5355,24015,24015,24009,24015,120,22
2025-06-02 03:10:00,5356,5358,5354,5355,24020,24024,24008,24010,98,33
2025-06-02 03:20:00,5355,5357,5354,5354,24018,24018,24009,24009,44,8
2025-06-02 03:30:00,5355,5357,5355,5356,24014,24014,24010,24013,64,8
2025-06-02 03:40:00,5356,5357,5354,5354,24015,24019,24011,24011,670,15
2025-06-02 03:50:00,5354,5355,5352,5353,24010,24010,24003,24003,213,29
2025-06-02 04:00:00,5353,5353,5348,5348,24002,24004,23977,23980,166,21
2025-06-02 04:10:00,5349,5351,5349,5350,23986,23992,23985,23987,63,5
2025-06-02 04:20:00,5351,5352,5349,5350,23986,23996,23986,23992,45,4
2025-06-02 04:30:00,5350,5352,5349,5351,23988,23988,23985,23987,89,9
2025-06-02 04:40:00,5352,5353,5350,5352,23988,23988,23979,23986,101,15
2025-06-02 04:50:00,5351,5351,5349,5349,23975,23976,23972,23974,72,6
2025-06-02 05:00:00,5350,5354,5349,5353,23974,23994,23974,23994,68,26
2025-06-02 05:10:00,5353,5355,5353,5354,23989,23993,23989,23993,77,5
2025-06-02 05:20:00,5354,5356,5353,5354,23993,23993,23989,23992,134,8
2025-06-02 05:30:00,5355,5356,5354,5354,23993,23994,23990,23991,56,10
2025-06-02 05:40:00,5354,5355,5353,5355,23993,23998,23993,23998,50,6
2025-06-02 05:50:00,5354,5355,5350,5354,23999,23999,23985,23999,30,12
2025-06-02 06:00:00,5355,5357,5354,5355,24009,24009,23997,24005,80,12
2025-06-02 06:10:00,5356,5357,5352,5353,24008,24010,23994,23994,287,12
2025-06-02 06:20:00,5352,5352,5350,5351,23994,23995,23983,23983,162,34
2025-06-02 06:30:00,5350,5350,5339,5343,23985,23985,23949,23962,1006,92
2025-06-02 06:40:00,5343,5346,5342,5345,23965,23973,23963,23973,284,40
2025-06-02 06:50:00,5345,5347,5342,5343,23968,23975,23963,23969,355,45
2025-06-02 07:00:00,5343,5343,5337,5339,23968,23972,23926,23934,1351,409
2025-06-02 07:10:00,5338,5338,5326,5337,23932,23932,23887,23918,2896,555
2025-06-02 07:20:00,5337,5338,5332,5335,23918,23923,23895,23905,1344,242
2025-06-02 07:30:00,5336,5341,5334,5340,23905,23934,23896,23927,1163,322
2025-06-02 07:40:00,5341,5344,5337,5340,23928,23937,23903,23915,2788,364
2025-06-02 07:50:00,5340,5340,5331,5333,23915,23917,23875,23886,2464,433
2025-06-02 08:00:00,5333,5355,5328,5347,23883,24019,23862,23969,15651,2228
2025-06-02 08:10:00,5347,5352,5343,5349,23967,24000,23957,23986,7341,695
2025-06-02 08:20:00,5350,5350,5308,5314,23988,23989,23793,23819,12406,1784
2025-06-02 08:30:00,5314,5334,5311,5332,23818,23914,23804,23892,11273,1329
2025-06-02 08:40:00,5332,5334,5324,5333,23896,23910,23854,23908,7368,1110
2025-06-02 08:50:00,5333,5333,5322,5325,23905,23910,23855,23863,7877,648
2025-06-02 09:00:00,5325,5344,5324,5342,23863,23939,23859,23926,10214,1241
2025-06-02 09:10:00,5342,5347,5337,5339,23927,23952,23910,23918,5282,549
2025-06-02 09:20:00,5340,5348,5339,5347,23914,23955,23912,23953,3138,434
2025-06-02 09:30:00,5347,5351,5346,5346,23956,23964,23936,23939,5542,440
2025-06-02 09:40:00,5347,5351,5344,5346,23937,23970,23926,23943,3405,432
2025-06-02 09:50:00,5346,5348,5341,5344,23944,23965,23929,23948,2948,254
2025-06-02 10:00:00,5343,5344,5338,5339,23948,23952,23922,23924,4625,322
2025-06-02 10:10:00,5338,5340,5335,5337,23924,23933,23905,23914,4026,411
2025-06-02 10:20:00,5336,5341,5336,5336,23914,23939,23911,23919,2379,287
